BI-Vital CA7F, STM_FW 2.0-23-g1ecdf25, NRF_FW 2.0, Config #437356607, Start Time 1970-01-01 00:00:09, Uptime 00:00:09, Global Update intervall 5 ms
Updatinterval [ms], 5, 100
Time [s], Heartrate [bpm], Button-press []
 291.600,  75,          
 292.355,  76,          
 293.105,  76,          
 293.890,  76,          
 294.655,  76,          
 295.450,  77,          
 296.235,  77,          
 297.010,  76,          
 297.780,  76,          
 298.520,  76,          
 299.270,  76,          
 300.010,  77,          
 300.730,  79,          
 301.440,  79,          
 302.160,  80,          
 302.855,  82,          
 303.520,  82,          
 304.160,  83,     short
 304.800,  85,          
 305.440,  89,          
 306.090,  92,          
 306.765,  92,          
 307.465,  92,          
 308.190,  92,          
 308.920,  89,          
 309.625,  86,          
 310.325,  84,          
 311.015,  84,          
 311.710,  84,          
 312.415,  84,      long
 313.145,  84,          
 313.865,  84,          
 314.605,  84,          
